Full_name,Client ID,Date of Birth,Country,ID Number,ID Type,Onboarding Date,KYC Status,Account Type,Aadhaar Number,PAN,Country_Corrected,flag
Dr. Julie Miller,CL148759,1991-01-07,Togo,tN137189,National ID,2022-09-22,Incomplete,Corporate,,,Togo,Incomplete KYC
Alyssa Washington,CL789461,1958-02-18,Sudan,rr814429,Driver License,2023-08-06,Incomplete,Corporate,,,Sudan,Incomplete KYC
Lindsey Kent,CL899407,1999-10-16,American Samoa,Fl275243,Driver License,2024-09-29,Incomplete,Corporate,,,American Samoa,Incomplete KYC
William Coffey,CL731792,1990-01-11,Tokelau,UO276637,National ID,2023-03-19,Incomplete,HNI,,,Tokelau,Incomplete KYC
Sarah Brown,CL327900,1967-06-30,Cote d'Ivoire,tE102767,National ID,2024-10-07,Incomplete,HNI,,,Côte d'Ivoire,Incomplete KYC
Anne Schmidt,CL799565,1973-07-31,Pitcairn Islands,Zg694544,National ID,2023-08-03,Incomplete,Corporate,,,Pitcairn,Incomplete KYC
Alexandra Davis,CL400538,1956-07-28,Algeria,cb753443,Passport,2025-02-19,Incomplete,Retail,,,Algeria,Incomplete KYC
,CL953568,1953-05-16,Bermuda,Mi939111,National ID,2024-02-07,Complete,HNI,,,Bermuda,Missing Full Name
Steven Carrillo,CL818430,1971-07-06,Seychelles,yv421406,National ID,2022-10-04,,HNI,,,Seychelles,Incomplete KYC
Deborah Alexander,CL918859,1982-12-18,Eritrea,jI396271,Driver License,2024-05-02,Incomplete,HNI,,,Eritrea,Incomplete KYC
Mr. Aaron Johnson MD,CL225151,1959-10-27,Ukrainf,EB569087,Driver License,2024-03-21,Incomplete,Retail,,,Ukraine,Incomplete KYC
Mark Benjamin,CL911242,1955-09-03,Gabon,Pm585174,National ID,2023-04-03,Incomplete,Corporate,,,Gabon,Incomplete KYC
Riley Bryant,CL934883,1961-02-12,United Kingdom,ZN911179,Driver License,2023-06-10,Incomplete,Retail,,,United Kingdom,Incomplete KYC
,CL851690,1980-02-26,Mali,lT632909,Passport,2024-08-17,,Retail,,,Mali,"Missing Full Name, Incomplete KYC"
Lori Patton,CL702891,1973-03-04,New Zealand,Hg608331,Driver License,2025-02-18,Incomplete,HNI,,,New Zealand,Incomplete KYC
Victoria Romero,CL508422,1981-02-03,Guyana,RE340312,National ID,2024-08-13,,HNI,,,Guyana,Incomplete KYC
Cindy Wells,CL404771,1980-12-29,Liechtenstein,BL406335,Driver License,2023-06-13,,HNI,,,Liechtenstein,Incomplete KYC
Theresa Mcintyre,CL474486,1949-11-06,Uganda,BH600780,National ID,2024-03-06,Incomplete,HNI,,,Uganda,Incomplete KYC
Cathy Savage,CL980919,1992-02-27,Tunisia,cs701658,National ID,2024-04-24,Incomplete,Corporate,,,Tunisia,Incomplete KYC
Crystal Meza,CL377198,1993-05-16,Angola,LQ569557,Passport,2025-06-19,Incomplete,Corporate,,,Angola,Incomplete KYC
Jill Torres,CL148693,1958-06-25,Marshall Islands,,National ID,2023-10-22,Incomplete,HNI,,,Marshall Islands,Incomplete KYC
Christopher Erickson,CL333726,1994-11-06,France,Ki223105,Driver License,2024-05-17,Incomplete,Corporate,,,France,Incomplete KYC
,CL700067,1964-08-14,Malta,RQ430187,Passport,2022-11-15,Complete,HNI,,,Malta,Missing Full Name
John Morrison,CL690982,1984-04-24,Malaysia,yx056265,National ID,2022-07-21,Incomplete,Retail,,,Malaysia,Incomplete KYC
Eric Griffin,CL594312,1987-09-06,Finland,kZ137674,Passport,2024-04-21,Incomplete,HNI,,,Finland,Incomplete KYC
Mallory Martinez,CL921945,1994-10-26,Zimbabwe,hW462730,Passport,2023-09-06,,HNI,,,Zimbabwe,Incomplete KYC
Andrea Reese DDS,CL967719,1987-12-28,Lithuania,,National ID,2024-05-10,Incomplete,Corporate,,,Lithuania,Incomplete KYC
