Full_name,Client ID,Date of Birth,Country,ID Number,ID Type,Onboarding Date,KYC Status,Account Type,Aadhaar Number,PAN
Dr. Julie Miller,CL148759,1991-01-07,Togo,tN137189,National ID,2022-09-22,Incomplete,Corporate,,
Richard Harrison,CL241176,1984-05-22,United Kingdom,sk795654,Passport,2022-08-26,Complete,HNI,,
Nicole Acosta,CL606390,1987-11-11,Puerto Rico,dQ407929,Passport,2023-09-29,Complete,HNI,,
Alyssa Washington,CL789461,1958-02-18,Sudan,rr814429,Driver License,2023-08-06,Incomplete,Corporate,,
Lindsey Kent,CL899407,1999-10-16,American Samoa,Fl275243,Driver License,2024-09-29,Incomplete,Corporate,,
William Coffey,CL731792,1990-01-11,Tokelau,UO276637,National ID,2023-03-19,Incomplete,HNI,,
Sarah Brown,CL327900,1967-06-30,Cote d'Ivoire,tE102767,National ID,2024-10-07,Incomplete,HNI,,
Michael Wells,CL286450,1959-05-19,Djibouti,Ru860476,National ID,2024-10-03,Complete,Corporate,,
Anne Schmidt,CL799565,1973-07-31,Pitcairn Islands,Zg694544,National ID,2023-08-03,Incomplete,Corporate,,
Julia Leonard,CL126499,1965-12-15,Palau,Ja938525,Passport,2025-05-13,Complete,Corporate,,
Alexandra Davis,CL400538,1956-07-28,Algeria,cb753443,Passport,2025-02-19,Incomplete,Retail,,
,CL953568,1953-05-16,Bermuda,Mi939111,National ID,2024-02-07,Complete,HNI,,
Maria Pratt,CL635740,1962-01-28,Palestinian Territory,OD124471,National ID,2023-09-05,Complete,Corporate,,
Steven Carrillo,CL818430,1971-07-06,Seychelles,yv421406,National ID,2022-10-04,,HNI,,
Deborah Alexander,CL918859,1982-12-18,Eritrea,jI396271,Driver License,2024-05-02,Incomplete,HNI,,
Ashley Alexander,CL913848,1967-02-16,Cuba,XC101194,Passport,2022-08-01,Complete,HNI,,
Mr. Aaron Johnson MD,CL225151,1959-10-27,Ukrainf,EB569087,Driver License,2024-03-21,Incomplete,Retail,,
Robin Jones,CL105919,1964-11-14,Tanzania,wv067198,National ID,2025-05-27,Complete,Retail,,
Mark Benjamin,CL911242,1955-09-03,Gabon,Pm585174,National ID,2023-04-03,Incomplete,Corporate,,
James Lee,CL176421,1996-11-09,Micronesia,Vm615717,Driver License,2023-02-05,Complete,HNI,,
Nathan Watkins,CL669460,1982-10-17,Argentinq,ZC618478,Passport,2022-07-28,Complete,HNI,,
George Le,CL329056,1977-02-04,Argentina,VL138782,National ID,2023-06-29,Complete,Retail,,
Nicolas Burns,CL773462,1950-10-19,Uzbekistan,lO790320,National ID,2022-09-18,Complete,HNI,,
Riley Bryant,CL934883,1961-02-12,United Kingdom,ZN911179,Driver License,2023-06-10,Incomplete,Retail,,
Jessica Cain,CL493172,1999-09-20,Bahrain,uY651982,National ID,2023-05-30,Complete,Corporate,,
Christopher Brown,CL638857,1968-02-21,Serbia,,Passport,2023-02-07,Complete,HNI,,
Michael Tran,CL323530,1979-05-09,Saudi Arabiv,yX390219,Driver License,2023-03-05,Complete,HNI,,
Angela Smith,CL877388,1955-07-27,Andorra,jO946723,National ID,2023-08-27,Complete,HNI,,
,CL851690,1980-02-26,Mali,lT632909,Passport,2024-08-17,,Retail,,
Lori Patton,CL702891,1973-03-04,New Zealand,Hg608331,Driver License,2025-02-18,Incomplete,HNI,,
Victoria Romero,CL508422,1981-02-03,Guyana,RE340312,National ID,2024-08-13,,HNI,,
Thomas Brown,CL714054,1974-04-15,Christmas Island,,Passport,2023-09-18,Complete,Corporate,,
Geoffrey Trujillo,CL190707,2001-02-10,Cote d'Ivoire,kY701082,Driver License,2022-08-17,Complete,Corporate,,
Andrea Young,CL883028,1979-10-10,Libyan Arab Jamahiriya,oX995635,National ID,2022-12-21,Complete,Corporate,,
David Gutierrez,CL933635,1963-02-09,Greece,dB631797,National ID,2023-02-13,Complete,HNI,,
Jordan Hughes,CL143802,1958-10-14,Cuba,,National ID,2024-06-13,Complete,Corporate,,
Ian Nelson,CL861200,1972-05-11,Saint Helena,hD209042,Driver License,2024-06-14,Complete,Retail,,
Greg Tanner,CL365018,1990-07-31,Italy,fA292983,Passport,2024-09-20,Complete,HNI,,
Cindy Wells,CL404771,1980-12-29,Liechtenstein,BL406335,Driver License,2023-06-13,,HNI,,
Theresa Mcintyre,CL474486,1949-11-06,Uganda,BH600780,National ID,2024-03-06,Incomplete,HNI,,
Melissa Garcia,CL572536,1983-03-17,Lesothg,iw318063,National ID,2023-10-05,Complete,HNI,,
Ann Castillo,CL549112,1970-03-31,Dominican Republic,DX279907,Driver License,2023-02-03,Complete,HNI,,
Cathy Savage,CL980919,1992-02-27,Tunisia,cs701658,National ID,2024-04-24,Incomplete,Corporate,,
Tracy Daniels,CL610626,2003-07-26,Sao Tome and Principe,Rx319508,Passport,2022-09-21,Complete,Corporate,,
John Williams,CL664781,1974-06-09,Bouvet Island (Bouvetoya),vp281832,National ID,2024-10-18,Complete,HNI,,
Nancy Goodwin,CL762308,1997-05-01,Brazia,,National ID,2023-05-24,Complete,Retail,,
Courtney Gomez,CL665892,1967-09-12,Sao Tome and Principe,wC864015,Passport,2024-07-27,Complete,HNI,,
Barbara Mckinney,CL587274,1995-08-30,Macao,mD847951,Passport,2022-11-15,Complete,HNI,,
Christopher Mullen,CL743863,1954-09-27,Belgium,jn124127,National ID,2024-09-18,Complete,Retail,,
Elaine Montes,CL253300,1986-05-07,Zambia,sm275670,Driver License,2022-10-08,Complete,Retail,,
Crystal Meza,CL377198,1993-05-16,Angola,LQ569557,Passport,2025-06-19,Incomplete,Corporate,,
Jill Torres,CL148693,1958-06-25,Marshall Islands,,National ID,2023-10-22,Incomplete,HNI,,
Cristina Watson,CL282294,1969-02-09,Chile,Nk025472,Driver License,2024-10-11,Complete,HNI,,
Christopher Erickson,CL333726,1994-11-06,France,Ki223105,Driver License,2024-05-17,Incomplete,Corporate,,
Daniel Mann,CL106918,1994-10-17,Eritrea,kI552578,Passport,2023-10-14,Complete,Retail,,
Jennifer Porter,CL257538,1959-05-25,British Virgin Islands,vP752088,Driver License,2025-07-02,Complete,HNI,,
Dylan Raymond,CL855242,1988-07-18,French Polynesia,ci297517,National ID,2025-05-21,Complete,HNI,,
Alexander Williamson,CL123536,1964-07-01,Micronesia,Pm751509,Passport,2024-12-25,Complete,Retail,,
,CL700067,1964-08-14,Malta,RQ430187,Passport,2022-11-15,Complete,HNI,,
John Morrison,CL690982,1984-04-24,Malaysia,yx056265,National ID,2022-07-21,Incomplete,Retail,,
Eric Griffin,CL594312,1987-09-06,Finland,kZ137674,Passport,2024-04-21,Incomplete,HNI,,
Brenda Matthews,CL904771,1955-05-12,Saint Lucia,eL234785,National ID,2024-02-06,Complete,HNI,,
Mark Nelson,CL725510,1961-05-27,Benin,ys879232,Passport,2024-11-09,Complete,Retail,,
Ronald Davenport,CL628859,1970-03-08,Liechtensteiq,jq787300,Passport,2023-10-12,Complete,Corporate,,
Mallory Martinez,CL921945,1994-10-26,Zimbabwe,hW462730,Passport,2023-09-06,,HNI,,
Andrea Reese DDS,CL967719,1987-12-28,Lithuania,,National ID,2024-05-10,Incomplete,Corporate,,
Michael Mccann,CL549793,2005-03-09,Trinidad and Tobago,kL158904,Driver License,2022-10-01,Incomplete,Corporate,,
Shawn Taylor,CL898531,1960-08-13,Cameroon,ss045650,National ID,2024-10-02,,Retail,,
Kayla Miranda,CL187889,1961-12-21,Northern Mariana Islands,RZ192855,National ID,2023-10-13,Complete,Retail,,
Melissa Davis,CL706063,1988-12-22,Faroe Islands,xX520284,National ID,2024-07-25,,HNI,,
Thomas Garcia,CL528705,1960-01-08,Isle of Man,IT833898,Passport,2024-11-05,Incomplete,Corporate,,
Ashley Stevens,CL483405,1954-09-13,Reunion,Sx120754,National ID,2023-02-03,Complete,Corporate,,
William Mills,CL287401,1972-10-11,Svalbard & Jan Mayen Islands,Sj240132,National ID,2025-06-05,Incomplete,HNI,,
Daniel Zavala,CL871523,1978-05-30,Denmark,mg110760,National ID,2022-08-22,Complete,Corporate,,
Leslie Harrison,CL205149,1966-09-20,South Africa,Mn014011,Driver License,2024-12-31,Complete,Retail,,
Michael Johnson,CL943442,1959-05-29,United Arab Emirates,,Passport,2023-09-06,Incomplete,Retail,,
Heather Wyatt,CL738613,2002-08-20,Yemeh,,Driver License,2025-02-09,Incomplete,HNI,,
Andrea Weiss,CL726495,2001-06-10,Dominican Republic,,Passport,2022-07-24,Incomplete,Retail,,
Corey Campbell,CL942960,2000-10-24,Marshall Islands,xS801387,Passport,2025-01-03,,HNI,,
Tyler White,CL745073,1973-08-25,Colombia,hW663836,Passport,2023-11-03,Complete,Retail,,
Joseph Simpson,CL470281,1974-01-31,British Virgin Islandi,hy480157,Driver License,2023-09-16,Complete,HNI,,
Emily Cherry,CL676289,1979-09-18,Korea,eZ386463,National ID,2024-07-10,Incomplete,Corporate,,
Cassie Lutz,CL735818,1982-12-16,Wallis and Futuna,jz167811,Driver License,2024-03-16,Complete,Corporate,,
Ashley Schaefer,CL685766,1960-12-25,Puerto Rico,,Driver License,2022-10-11,Complete,HNI,,
Gina Larson,CL952646,1977-01-05,Haiti,Lr136749,Driver License,2025-03-29,Incomplete,HNI,,
John Morrison,CL456160,1977-01-09,Western Sahara,hq784271,Driver License,2024-08-01,Complete,Corporate,,
Tommy Johnson,CL926965,1999-09-17,Iran,MR017026,National ID,2023-11-22,Incomplete,Corporate,,
Marcus Wolf,CL110195,1994-06-28,Cape Verde,FG877347,Driver License,2023-08-13,Complete,Corporate,,
Scott Payne,CL179721,2001-06-28,Mauritius,yC061675,Passport,2024-06-16,Incomplete,Retail,,
Justin Dalton,CL882401,1970-02-15,Argentina,FW276246,Passport,2022-12-19,Complete,Retail,,
Mary Jennings,CL316823,1988-06-10,Montenegro,zq778280,Passport,2024-08-09,Incomplete,Retail,,
Lisa Gomez,CL182300,1968-11-09,Nauru,xw500902,National ID,2024-12-26,Complete,HNI,,
Lori James,CL489227,1978-08-21,Anguilla,pp556503,Driver License,2025-04-04,Incomplete,Corporate,,
Susan Jones,CL635962,1970-04-02,Georgia,cD152085,Passport,2025-04-19,Complete,Retail,,
Jose Fisher,CL667036,1950-11-22,Tonga,,Driver License,2025-06-18,Complete,Corporate,,
Victoria Gray,CL582418,1976-01-23,Latvia,vF591713,Passport,2024-08-22,,Retail,,
Gina Mendez,CL479167,1974-03-24,Sudan,sq637183,Driver License,2022-09-14,Incomplete,Retail,,
Jennifer Perez PhD,CL459762,1955-10-05,French Southern Territories,KZ919541,Driver License,2024-10-04,Incomplete,HNI,,
Gregory Jones,CL520051,2005-07-23,Lebanon,mA484685,Passport,2024-03-18,Complete,Retail,,
Jody Hines,CL682316,1961-10-16,El Salvador,QV082973,Driver License,2024-06-27,Complete,Corporate,,
Kim Mendez,CL623866,2001-11-03,Ethiopia,Dj690835,National ID,2023-07-11,Incomplete,Corporate,,
Pamela Richard,CL695417,1977-06-03,Canada,,Passport,2023-11-10,Complete,Retail,,
Amy Harris,CL760458,1977-07-27,Tokelau,,National ID,2023-08-21,Incomplete,Corporate,,
Christopher Mcdaniel,CL370233,1965-07-28,Swaziland,pZ631230,Driver License,2023-10-28,Complete,HNI,,
Dr. Javier Bullock,CL283017,1963-04-01,Kyrgyz Republic,QJ242044,Driver License,2023-04-02,Incomplete,HNI,,
Tracey Tucker,CL743473,1950-11-09,Norway,Ax015941,National ID,2025-05-11,Complete,HNI,,
Jennifer Larsen,CL761938,2006-11-07,Palestinian Territory,HQ231981,Driver License,2024-12-20,Complete,Retail,,
Kelly Crawford,CL432270,1955-08-24,Zambia,Vy391559,National ID,2023-07-04,Incomplete,Corporate,,
Charles Thompson,CL480805,1968-03-08,Vietnam,Ix764907,National ID,2025-06-23,Incomplete,Retail,,
,CL863124,1957-03-10,Yemen,Yj586734,Driver License,2024-01-17,Complete,Retail,,
Samantha Smith,CL166891,1990-09-23,Lebanon,tO003486,Driver License,2025-06-25,Complete,Corporate,,
Melinda Nichols,CL208976,1965-08-03,Guyana,fW760644,Passport,2023-07-03,,Corporate,,
Steve Moon,CL397979,1992-06-19,French Southern Territories,EV560417,Passport,2024-04-04,Complete,Retail,,
Michelle Mcdowell,CL440998,2005-04-27,Vanuatl,AM124815,Driver License,2024-10-30,Incomplete,HNI,,
Michael Gill,CL831510,1993-02-23,Saint Pierre and Miquelon,Ot272063,National ID,2023-11-02,Incomplete,HNI,,
Christopher Black,CL464032,2001-09-26,Morocco,Vi296577,Passport,2023-08-11,Incomplete,Corporate,,
Samantha Marsh,CL418319,1963-01-08,China,,National ID,2022-11-11,Complete,Corporate,,
James Bennett,CL821179,2006-04-21,Israel,Oo930089,Driver License,2022-11-18,Incomplete,Corporate,,
Michael Jackson,CL674842,1976-10-16,Kyrgyz Republic,xk969421,Driver License,2024-11-30,Incomplete,Corporate,,
Joseph Ayala,CL777370,1980-05-17,British Indian Ocean Territory (Chagos Archipelago),sV713334,Driver License,2024-08-08,Complete,Corporate,,
Scott Greene,CL938817,2005-07-31,Hong Kong,bs436262,National ID,2023-08-13,Incomplete,HNI,,
Susan Wood,CL532961,1996-01-25,Dominica,Sz710725,Passport,2025-06-03,Incomplete,Retail,,
Michelle Fitzgerald,CL385353,1966-12-09,Croatia,pE118005,Driver License,2024-01-04,Complete,Retail,,
,CL207241,1995-02-24,New Caledonir,yt900489,Passport,2024-03-07,Complete,Retail,,
Walter Hansen,CL458521,1989-01-02,Paraguaa,Di242875,Driver License,2022-11-19,Incomplete,HNI,,
Jessica Green,CL984522,1970-10-27,Ghana,sq027456,Passport,2025-02-09,,Corporate,,
Deborah Edwards,CL982417,1960-09-23,Switzerlanp,mj572870,Driver License,2022-09-25,Complete,HNI,,
John Martin,CL564478,1981-04-16,Denmark,TJ617075,Passport,2024-07-25,Complete,HNI,,
Ryan Camacho Jr.,CL508024,1955-11-14,Kuwait,KQ342284,Driver License,2024-12-28,Complete,HNI,,
Valerie Fox,CL676276,1988-05-06,Croatia,vb261371,Driver License,2023-09-17,Incomplete,Retail,,
Mrs. Jacqueline Hickman,CL799080,1956-09-20,Pitcairn Islands,DO520177,Passport,2023-08-25,Incomplete,Corporate,,
Erin Williams,CL225461,1991-11-08,Nepaz,ZP759230,Passport,2023-09-15,,Retail,,
Natasha Payne,CL821846,1990-06-28,Gibraltar,Xz616423,Driver License,2022-11-18,Complete,Retail,,
Carla Chan,CL454861,1968-11-22,Angola,RM214764,National ID,2023-01-22,,Corporate,,
Sandra Hunt,CL929912,1982-10-27,Guinea-Bissau,Bf767499,Driver License,2024-04-19,Incomplete,Corporate,,
,CL496119,1974-07-24,Sudan,Gv926610,Passport,2024-06-22,Complete,Corporate,,
Michael Moore,CL669097,1983-03-18,Philippines,fZ881476,Passport,2024-07-13,Incomplete,Corporate,,
Carl Leach,CL971733,2006-10-08,French Southern Territories,Je386490,National ID,2022-09-11,Complete,Corporate,,
Jeffery Davis,CL484945,1994-06-22,Malaysia,XG945491,National ID,2022-07-28,Complete,Retail,,
Julie Hartman,CL750324,2006-11-11,Brazil,LU601645,National ID,2024-06-08,,HNI,,
Loretta Baker,CL816412,2004-08-15,Saudi Arabia,Rg232194,National ID,2024-05-06,Incomplete,Corporate,,
James Smith,CL200932,1994-02-17,Martinique,NN776974,Passport,2024-01-14,,Retail,,
,CL212255,1995-05-10,Portugal,mh641220,Passport,2022-07-27,,HNI,,
Shannon Clark,CL651363,1993-08-22,Qatar,tX236831,National ID,2024-06-21,Incomplete,Retail,,
Alex Martin,CL318877,1959-11-16,Cameroon,pm777079,Passport,2023-10-04,Complete,Corporate,,
